Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-Jan-22,2355,2406.35,2355,2386.35,2389.849204424831213056,185589,15173,443529724,92280,49.72,51.35,31.35
01-Feb-22,2410,2420.55,2347.65,2380.45,2405.008304948647246935,2496945,19446,6005173462,2366046,94.76,72.9,-29.55
02-Feb-22,2410.4,2410.4,2376,2383.5,2386.325726300826250481,337670,21820,805790608,228993,67.82,34.4,-26.9
03-Feb-22,2384,2401.55,2348,2352.7,2369.332016071088171033,136394,12835,323162671,70272,51.52,53.55,-31.3
04-Feb-22,2349,2349.55,2322,2331.8,2334.619290430740738499,330454,18910,771484283,188997,57.19,27.55,-17.2
07-Feb-22,2338,2356.8,2305.05,2317.65,2331.974339332423501408,1643527,23783,3832662790,1487460,90.5,51.75,-20.35
08-Feb-22,2333,2359.95,2310,2355.6,2334.748161018716340492,1601702,22714,3739570799,1450944,90.59,49.95,22.6
09-Feb-22,2367.1,2386.6,2358.6,2383.95,2371.676984292020063032,1356126,11903,3216292822,1275505,94.06,28,16.85
10-Feb-22,2397.4,2397.4,2365,2379,2381.977049731480088828,226054,18011,538455440,118653,52.49,32.4,-18.4
11-Feb-22,2374,2384,2343.95,2376.85,2365.345214130033343216,192243,12019,454721060,120819,62.85,40.05,2.85
14-Feb-22,2300,2354,2300,2338.8,2337.910013924344395451,310248,27415,725331906,138802,44.74,54,38.8
15-Feb-22,2352,2424,2335.85,2417.35,2380.158615081105903298,389799,34153,927783448,212691,54.56,88.15,65.35
16-Feb-22,2427.55,2432.05,2396,2412.35,2419.929777987288748847,241833,15405,585218878,142572,58.95,36.05,-15.2
17-Feb-22,2418,2454.4,2410.5,2444.9,2440.325207306185807468,248666,16599,606825908,124763,50.17,43.9,26.9
18-Feb-22,2435,2456,2421,2424.15,2441.445644773274022967,242341,19583,591662379,99931,41.24,35,-10.85
21-Feb-22,2414.9,2436.8,2385,2400.15,2409.337397391591548047,248274,19888,598175833,134878,54.33,51.8,-14.75
22-Feb-22,2352,2395.7,2346.75,2388.2,2370.708034124609965808,388107,28331,920088383,203497,52.43,48.95,36.2
23-Feb-22,2398.6,2406.05,2367.9,2373.8,2396.371896325249094928,187278,12038,448787736,103388,55.21,38.15,-24.8
24-Feb-22,2314,2339.85,2242.5,2255.6,2295.238504363936897744,550535,41625,1263609130,315777,57.36,97.35,-58.4
25-Feb-22,2275.6,2307,2275.6,2283.95,2291.873908269063792839,234948,21111,538471191,112821,48.02,31.4,8.35
28-Feb-22,2247.05,2367,2245,2359.1,2309.884883197010197283,361763,29272,835630885,,,122,112.05
02-Mar-22,2349.1,2400.45,2331.1,2398.4,2369.632394144604044414,298733,16557,707887394,138915,46.5,69.35,49.3
03-Mar-22,2411,2414.45,2370,2378.2,2396.194634975995177506,232245,15479,556504223,105116,45.26,44.45,-32.8
04-Mar-22,2355,2364.7,2320.55,2325.35,2337.685987106781057631,206310,16293,482287996,94740,45.92,44.15,-29.65
07-Mar-22,2296,2311.85,2222.65,2239.95,2260.587710151354010413,577322,37375,1305087018,272865,47.26,89.2,-56.05
08-Mar-22,2205,2245.8,2181,2236.7,2218.737340260988392173,665930,53449,1477523757,336111,50.47,64.8,31.7
09-Mar-22,2249,2366.7,2233.95,2353.8,2312.141909420407557116,430958,39356,996436053,170141,39.48,132.75,104.8
10-Mar-22,2415,2415,2360,2393.25,2387.298558475449619361,481296,29924,1148997247,207175,43.05,55,-21.75
11-Mar-22,2372,2410.4,2372,2398.5,2396.335382688932453376,292287,22834,700417680,152721,52.25,38.4,26.5
14-Mar-22,2394,2424.35,2375,2418.55,2401.462597646671707855,316063,19079,759013473,200647,63.48,49.35,24.55
15-Mar-22,2431.8,2431.8,2341.2,2363.45,2394.703078085349553493,412984,18178,988974056,219326,53.11,90.6,-68.35
16-Mar-22,2387.95,2407.05,2376.45,2403.25,2395.930052460654509118,276207,20490,661772652,137424,49.75,30.6,15.3
17-Mar-22,2438,2496.9,2401.15,2479.65,2446.419570385731192593,286443,22523,700759761,138614,48.39,95.75,41.65
21-Mar-22,2452,2483.7,2442,2467.15,2466.332793051039843013,207916,16194,512790049,114923,55.27,41.7,15.15
22-Mar-22,2463.7,2535,2454,2531.1,2515.429601950809112539,304284,23179,765404981,132832,43.65,81,67.4
23-Mar-22,2526.2,2565,2526.2,2539.7,2549.186468951808251881,200221,17464,510400664,76043,37.98,38.8,13.5
24-Mar-22,2515,2583.5,2512.05,2577.9,2557.662375899291550473,327758,27709,838294305,169170,51.61,71.45,62.9
25-Mar-22,2577.9,2615,2577,2596.7,2597.056803628738054298,195991,18162,508999760,92554,47.22,38,18.8
28-Mar-22,2611,2629.15,2586.9,2621.65,2610.310098746021958496,342191,27520,893224623,176374,51.54,42.25,10.65
29-Mar-22,2637,2637,2608.2,2622.15,2622.771194051998156869,128043,12459,335827492,43033,33.61,28.8,-14.85
30-Mar-22,2637.9,2688,2617.75,2673,2658.492289580584232451,154596,14817,410992274,57544,37.22,70.25,35.1
31-Mar-22,2673,2673,2628.9,2633.95,2645.692335452644539500,188426,19558,498517224,83814,44.48,44.1,-39.05
01-Apr-22,2641.3,2664.8,2622.5,2654.45,2640.189269799353971659,84826,9693,223956695,30456,35.9,42.3,13.15
04-Apr-22,2657,2675,2644.25,2663.05,2658.947397411181492701,137978,13686,366876244,53037,38.44,30.75,6.05
