Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
25-Jul-18,2160.1,2176.8,2160.1,2173.7,2171.780380613642403057,48921,1877,106245668,22022,45.02,16.7,13.6
26-Jul-18,2173.05,2198,2170,2189.35,2185.917152117734659016,45662,1852,99813349,17828,39.04,28,16.3
27-Jul-18,2205.9,2212.5,2185.95,2203.4,2200.318776979705887621,55829,2426,122841597,24387,43.68,26.55,-2.5
30-Jul-18,2204.15,2204.15,2163.15,2172.25,2174.046856078248719142,64410,4164,140030358,26303,40.84,41,-31.9
31-Jul-18,2170,2187.9,2152,2181.05,2169.791934149333789837,70098,3982,152098075,27071,38.62,35.9,11.05
01-Aug-18,2179,2179,2151,2157.35,2164.508781266631186801,46975,2131,101677800,20094,42.78,28,-21.65
02-Aug-18,2159.8,2159.8,2121.55,2129.25,2134.049172861098965165,54888,2987,117133691,25038,45.62,38.25,-30.55
03-Aug-18,2130.25,2146.3,2115.05,2121,2129.473278448708502845,93651,2833,199427302,41783,44.62,31.25,-9.25
06-Aug-18,2124.9,2137,2107.2,2115.2,2125.870178337210229207,413991,3469,880091121,359557,86.85,29.8,-9.7
07-Aug-18,2129,2137.9,2109,2132.15,2125.122706270627062706,45450,2013,96586827,14005,30.81,28.9,3.15
08-Aug-18,2132.2,2150,2132.2,2136.85,2142.088348797109779128,48716,2486,104353976,17465,35.85,17.8,4.65
09-Aug-18,2140,2144.7,2098.5,2118.65,2113.727778710074397270,107262,4620,226722669,34010,31.71,46.2,-21.35
10-Aug-18,2118,2125.05,2100,2115,2113.067448478450452104,43574,2246,92074801,14311,32.84,25.05,-3
13-Aug-18,2075,2101.85,2075,2090.65,2087.738482568211346903,73888,3187,154258821,27767,37.58,26.85,15.65
14-Aug-18,2104.8,2104.8,2087.4,2089.15,2096.159657665633761251,47439,2633,99439718,18031,38.01,17.4,-15.65
16-Aug-18,2088,2088,2066.4,2075.6,2074.368917340715428868,69357,3881,143872005,35218,50.78,21.6,-12.4
17-Aug-18,2084.85,2092.5,2071.7,2077.25,2082.199252443933294997,41736,2256,86902668,14801,35.46,20.8,-7.6
20-Aug-18,2080,2107,2080,2097.1,2098.312979997583832387,57943,3269,121582549,27791,47.96,27,17.1
21-Aug-18,2100,2111.9,2093.1,2094.85,2102.411327057394473124,59274,3382,124618329,27636,46.62,18.8,-5.15
23-Aug-18,2098.05,2107.55,2078,2081.4,2088.025630711803320890,62152,3331,129774969,32234,51.86,29.55,-16.65
24-Aug-18,2078,2092.3,2066.55,2070.55,2074.437158759607739199,56595,1981,117402771,20588,36.38,25.75,-7.45
27-Aug-18,2114,2114,2071,2079.75,2079.713859275053304904,63315,2319,131677083,22527,35.58,43,-34.25
28-Aug-18,2082.05,2100,2079,2096.9,2089.344577062791904514,50102,2650,104680342,20118,40.15,21,14.85
29-Aug-18,2097,2097.05,2072.5,2078.45,2082.381694614759547905,94759,3622,197324407,47837,50.48,24.55,-18.55
30-Aug-18,2078.45,2086.95,2060,2067.15,2074.678950857043741133,161427,4027,334909199,128651,79.7,26.95,-11.3
31-Aug-18,2065,2077.75,2055,2062.25,2065.967766458871826060,59193,3326,122290830,29536,49.9,22.75,-2.75
03-Sep-18,2067,2078.65,2063.8,2074.3,2073.902976440891880521,38032,2208,78874678,15998,42.06,14.85,7.3
04-Sep-18,2080,2080,2048.2,2052,2059.331901482936516502,46327,2582,95402669,21794,47.04,31.8,-28
05-Sep-18,2050.1,2060.4,2035.45,2044.15,2043.504034652600691654,57254,3150,116998780,29506,51.54,24.95,-5.95
06-Sep-18,2050,2058.85,2033,2056.55,2048.843127143914086496,89206,4411,182769100,50549,56.67,25.85,6.55
07-Sep-18,2056,2062,2041.95,2057.85,2049.277591779352725480,68997,2244,141394006,42097,61.01,20.05,1.85
10-Sep-18,2050,2057,2026,2042.4,2035.332212733270073652,221310,3780,450439372,41889,18.93,31,-7.6
11-Sep-18,2042,2042.8,1993,2000.2,2015.241403358188938361,130487,4349,262962805,61264,46.95,49.8,-41.8
12-Sep-18,2006,2024.5,1990,2018.45,2012.606200501676953862,177405,3533,357046403,111885,63.07,34.5,12.45
14-Sep-18,2024,2036.6,2018.65,2029.2,2026.148899985732629476,175225,4239,355031941,120715,68.89,17.95,5.2
17-Sep-18,2024,2024,1988.5,1992.45,1996.431973045686555530,79542,5013,158800192,40896,51.41,35.5,-31.55
18-Sep-18,1992,2009.9,1980.75,1993.35,1994.514390087377202942,81028,4091,161611512,36097,44.55,29.15,1.35
19-Sep-18,2000,2000,1957,1961.95,1969.232520662873281555,240770,8161,474132114,129474,53.77,43,-38.05
21-Sep-18,1988,1998.9,1913.8,1968.85,1967.782891890592702975,124818,6319,245614725,44981,36.04,85.1,-19.15
24-Sep-18,1971,1971.7,1916.1,1926.25,1943.410957828012738006,165489,6950,321613136,69690,42.11,55.6,-44.75
25-Sep-18,1926,1959,1915.05,1951.7,1937.578230941761839696,155156,6982,300626888,50363,32.46,43.95,25.7
