Date,Open Price,High Price,Low Price,Close Price,Average Price=(O+H+L+C)/4,Volume,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
29-Sep-23,3535,3568,3506,3530.75,3541.684654,83502,10470,295737752,32460,38.87,62,-4.25
03-Oct-23,3531.05,3534.75,3480,3515.25,3507.518172,110749,9261,388454130,71491,64.55,54.75,-15.8
04-Oct-23,3485.6,3546,3477,3536.65,3501.523667,282695,8597,989863233,232685,82.31,69,51.05
05-Oct-23,3557.95,3624,3553.65,3589.1,3587.009756,64884,6492,232739541,31167,48.03,70.35,31.15
06-Oct-23,3590,3634.25,3576.95,3620.2,3610.82278,251185,17693,906984520,25538,10.17,57.3,30.2
09-Oct-23,3654,3680,3630,3637.25,3653.540509,136192,11229,497582989,60541,44.45,50,-16.75
10-Oct-23,3639.95,3650,3601.9,3629.2,3624.241072,57937,5992,209977655,28387,49,48.1,-10.75
11-Oct-23,3664,3664,3606,3610.2,3620.683947,530680,10655,1921424557,484580,91.31,58,-53.8
12-Oct-23,3585,3588.75,3539,3542.25,3557.302675,205521,23545,731100403,120532,58.65,49.75,-42.75
13-Oct-23,3529.95,3579.2,3525,3570.3,3567.194607,326628,22207,1165145640,57205,17.51,54.2,40.35
16-Oct-23,3564.95,3574.95,3517.75,3524.15,3539.126571,41613,5565,147273674,26396,63.43,57.2,-40.8
17-Oct-23,3536.95,3536.95,3503.35,3506.65,3516.571749,79395,9268,279198214,48148,60.64,33.6,-30.3
18-Oct-23,3507.1,3523.55,3485,3487.15,3503.04415,35991,4011,126078062,25271,70.21,38.55,-19.95
19-Oct-23,3473.95,3478.35,3451.85,3454.75,3463.117045,216685,4389,750405517,200616,92.58,26.5,-19.2
20-Oct-23,3454.7,3500.45,3444.05,3494.25,3479.151297,391507,19967,1362112087,135510,34.61,56.4,39.55
23-Oct-23,3475,3480.1,3401.7,3409,3440.610515,26553,4465,91358531,15099,56.86,78.4,-66
25-Oct-23,3399.95,3425.9,3377,3389.85,3400.044622,32271,3979,109722840,14485,44.89,48.9,-10.1
26-Oct-23,3369.85,3372.5,3330.4,3337.75,3340.847988,155481,7442,519438386,112929,72.63,42.1,-32.1
27-Oct-23,3357.9,3363.05,3338.5,3350.55,3352.955848,342615,23885,1148772968,42312,12.35,24.55,-7.35
30-Oct-23,3354,3382.9,3333.25,3378.95,3367.154817,17188,2274,57874657,8680,50.5,49.65,24.95
31-Oct-23,3386.05,3398.3,3350.55,3368.2,3364.320496,47077,6781,158382116,21322,45.29,47.75,-17.85
01-Nov-23,3354.75,3371.9,3313,3332.55,3349.427149,16067,2819,53815246,10234,63.7,58.9,-22.2
02-Nov-23,3341.55,3375,3341.55,3359.95,3364.438669,39442,5420,132700190,17129,43.43,33.45,18.4
03-Nov-23,3387.4,3387.4,3345.95,3350.85,3361.017381,124559,11227,418644964,12417,9.97,41.45,-36.55
06-Nov-23,3364,3393.65,3360,3385.35,3375.658174,14209,2051,47964727,7382,51.95,33.65,21.35
07-Nov-23,3385,3404.55,3366.05,3370.1,3383.158612,38446,5345,130068916,18284,47.56,38.5,-14.9
08-Nov-23,3377.95,3402,3371.85,3380.75,3391.29448,68334,5776,231740717,54046,79.09,30.15,2.8
09-Nov-23,3391,3392.5,3343,3348.25,3365.614529,35061,3698,118001811,25705,73.32,49.5,-42.75
10-Nov-23,3343.95,3347,3322.35,3332.8,3331.095815,253510,17372,844466100,88382,34.86,24.65,-11.15
12-Nov-23,3359.95,3360,3340,3358.25,3357.018177,8197,1569,27517478,6264,76.42,20,-1.7
13-Nov-23,3350,3357,3327,3331.7,3334.093061,32989,6514,109988396,21587,65.44,30,-18.3
